,ID energetske izkaznice,Datum izdelave,Velja do,Šifra KO,Številka stavbe,Številka dela stavbe,Tip izkaznice,Potrebna toplota za ogrevanje,Dovedena energija za delovanje stavbe,Celotna energija,Dovedena električna energija,Primarna energija,Emisije CO2,Kondicionirana površina stavbe,Energijski razred,EPBD 
50818,2023-909-126-108136,09.10.2023,9102033,283,144,0.0,merjena,,,200745.09936779618,0.0,0.0,0.0,622.0,A1,PISARNE
50870,2024-866-17-111321,22.02.2024,22022034,2631,2313,1.0,merjena,,,16682.0,16682.0,25023.0,7006.0,368.0,A1,DRUGO
51013,2023-608-123-107961,30.10.2023,30102033,2604,4104,0.0,merjena,,,256959.0,155466.0,344841.3,94729.0,867.0,A1,DRUGO
51034,2023-886-61-108229,24.11.2023,24112033,680,2237,0.0,merjena,,,378311.0,58846.0,439680.5,88608.0,936.0,A1,IZOBRAZ
51035,2023-621-162-105156,19.05.2023,19052033,1724,1715,0.0,merjena,,,146797.0,33652.0,174937.5,36763.0,291.0,A1,HOTELI
51043,2023-649-400-105892,15.06.2023,15062033,259,896,0.0,merjena,,,363208.0,97002.0,438329.6,93982.0,1430.0,A1,PRODAJA
51053,2023-866-17-107871,27.09.2023,27092033,2143,657,0.0,merjena,,,101172.0,32371.0,124237.6,27356.0,578.0,A1,PISARNE
51058,2024-866-17-111365,23.02.2024,23022034,920,400,1.0,merjena,,,46775.0,13549.0,27965.48,5691.0,202.0,A1,DRUGO
51106,2023-798-80-108787,05.11.2023,5112033,2631,2585,39.0,merjena,,,85070.0,69301.0,121297.4,33679.0,493.0,A1,HOTELI
51155,2024-735-58-110841,15.02.2024,15022034,1723,5441,0.0,merjena,,,4123960.0,3263148.0,5870068.7,1542685.0,14859.0,A1,PRODAJA
51229,2023-886-61-108085,24.11.2023,24112033,680,1255,0.0,merjena,,,169706.0,53036.0,207891.0,56109.0,1028.0,A1,IZOBRAZ
51235,2023-885-107-109054,24.11.2023,24112033,2191,1255,0.0,merjena,,,1074275.0,341165.0,1318168.5,289911.0,3232.0,A1,HOTELI
51236,2023-885-107-109202,24.11.2023,24112033,2191,1310,0.0,merjena,,,165011.0,15502.0,187712.9,36413.0,781.0,A1,DRUGO
51237,2023-885-107-109224,24.11.2023,24112033,2110,459,0.0,merjena,,,40438.0,12729.0,49573.4,13382.0,341.0,A1,IZOBRAZ
51238,2023-885-107-109261,24.11.2023,24112033,2110,457,0.0,merjena,,,114750.0,36122.0,140673.8,37973.0,369.0,A1,HOTELI
51239,2023-885-107-109289,24.11.2023,24112033,2110,464,0.0,merjena,,,382864.0,60201.0,445230.8,118857.0,1447.0,A1,DRUGO
51569,2024-728-174-111443,26.02.2024,26022034,259,804,0.0,merjena,,,578096.0,134678.0,689776.8,145248.0,4052.0,A1,IZOBRAZ
51654,2023-885-107-109429,29.11.2023,29112033,2103,276,0.0,merjena,,,141404.0,78480.0,186936.4,45546.0,367.0,A1,PISARNE
51655,2023-885-107-109401,29.11.2023,29112033,2103,651,0.0,merjena,,,1137457.0,264784.0,1357116.3,285744.0,5137.0,A1,PISARNE
51810,2024-902-39-111698,06.03.2024,6032034,964,3506,33.0,merjena,,,30847.0,7514.0,36937.3,8403036.0,83.0,A1,HOTELI
51911,2024-861-9-111924,18.03.2024,18032034,400,5130,0.0,merjena,,,2400495.0,1089420.0,2669196.0,605779.0,14963.0,A1,PRODAJA
51927,2024-735-58-111993,19.03.2024,19032034,1995,228,0.0,merjena,,,25726.0,25726.0,38589.0,10805.0,679.0,A1,PISARNE
52055,2024-926-87-116045,03.09.2024,3092034,1322,742,0.0,merjena,,,108754.0,5937.0,142567.6,29226.0,602.0,A1,DRUGO
52193,2024-886-61-115177,29.08.2024,29082034,823,88,4.0,merjena,,,20899.2,7620.0,26037.12,7051.0,176.0,A1,PISARNE
52196,2024-886-61-115212,29.08.2024,29082034,823,11,0.0,merjena,,,25602.98,3139.0,29418.88,7833.0,192.0,A1,DRUGO
52197,2024-886-61-115218,29.08.2024,29082034,823,116,0.0,merjena,,,154120.1,46374.0,91110.22,23787.0,1874.0,A1,IZOBRAZ
52218,2024-886-61-115331,05.11.2024,5112034,660,2637,0.0,merjena,,,29448.98,5979.0,34785.48,9317.0,293.0,A1,IZOBRAZ
52226,2024-827-121-118692,03.12.2024,3122034,1871,254,212.0,merjena,,,16888.0,6652.0,23284.8,5455.0,132.0,A1,DRUGO
52229,2024-960-127-118702,04.12.2024,4122034,283,97,0.0,merjena,,,346473.64,79441.0,412897.4,110805.0,2963.0,A1,IZOBRAZ
52234,2024-866-17-118798,06.12.2024,6122034,657,885,0.0,merjena,,,454393.74,210576.0,584063.51,159149.0,3120.0,A1,PISARNE
52243,2025-913-410-120305,17.02.2025,17022035,2144,306,0.0,merjena,,,134593.0,-166567.0,426425.5,-9726.0,4336.0,A1,IZOBRAZ
52244,2025-913-410-120313,17.02.2025,17022035,2147,411,0.0,merjena,,,201947.57,-18748.0,337359.63,56128.0,3391.0,A1,IZOBRAZ
52245,2025-913-410-120396,17.02.2025,17022035,2143,678,0.0,merjena,,,67580.0,12790.0,79454.0,16330.0,898.0,A1,IZOBRAZ
52262,2024-827-121-116825,02.10.2024,2102034,1476,123,0.0,merjena,,,115606.98,53235.0,148461.68,40447.0,836.0,A1,PISARNE
52276,2024-940-162-117122,14.10.2024,14102034,2021,1625,0.0,merjena,,,4301850.92,2831260.0,5864540.01,1615601.0,5936.0,A1,DRUGO
52342,2024-733-143-113685,24.05.2024,24052034,1732,608,0.0,merjena,,,179536.0,56556.0,222571.6,72454.0,1897.0,A1,IZOBRAZ
52343,2024-733-143-113676,24.05.2024,24052034,1754,437,0.0,merjena,,,289123.0,191162.0,333809.8,88846.0,1792.0,A1,IZOBRAZ
52344,2024-733-143-113669,24.05.2024,24052034,1773,981,0.0,merjena,,,132492.0,103432.0,170266.4,46190.0,1238.0,A1,IZOBRAZ
52378,2024-873-28-116239,15.09.2024,15092034,2248,1461,0.0,merjena,,,289546.22,58043.0,341718.04,91514.0,1294.0,A1,IZOBRAZ
52419,2024-861-9-112940,06.05.2024,6052034,1515,1617,0.0,merjena,,,643094.75,503634.0,908857.83,251970.0,2451.0,A1,PRODAJA
52446,2024-972-42-116753,27.10.2024,27102034,1730,15,0.0,merjena,,,529357.0,164436.0,662481.64,149711.0,2768.0,A1,PISARNE
52448,2024-972-42-116819,27.10.2024,27102034,1455,958,0.0,merjena,,,1278432.5,1004481.0,1808068.15,482151.0,7229.0,A1,PRODAJA
52449,2024-972-42-116820,27.10.2024,27102034,1455,849,0.0,merjena,,,208533.5,130244.0,281484.45,71926.0,1943.0,A1,PRODAJA
52450,2024-972-42-116947,27.10.2024,27102034,1730,4115,0.0,merjena,,,1051257.0,457144.0,1438711.4,341283.0,5400.0,A1,SPORT
52451,2024-972-42-116965,27.10.2024,27102034,108,14,0.0,merjena,,,6037132.0,3941574.0,8217474.8,2074573.0,22878.0,A1,PRODAJA
52502,2024-865-386-117333,17.10.2024,17102034,1724,3510,0.0,merjena,,,75238.0,53806.0,104284.2,26885.0,535.0,A1,IZOBRAZ
52566,2024-893-58-115121,17.09.2024,17092034,2636,48,0.0,merjena,,,397511.0,173991.0,555912.5,131191.0,3030.0,A1,PISARNE
52608,2024-735-58-116569,02.10.2024,2102034,1721,287,0.0,merjena,,,1420275.0,601128.0,1966583.1,465452.0,13407.0,A1,DRUGO
52609,2024-735-58-116570,02.10.2024,2102034,1723,4560,0.0,merjena,,,280047.0,39317.0,323778.5,64659.0,1580.0,A1,STANOVANJE
52645,2024-913-244-117572,29.10.2024,29102034,2131,43,0.0,merjena,,,108749.0,23332.0,128956.7,26883.0,759.0,A1,IZOBRAZ
52648,2024-715-218-113313,31.10.2024,31102034,2631,4226,0.0,merjena,,,75988.13,53905.0,105148.94,29044.0,66.0,A1,PRODAJA
52649,2024-715-218-113154,31.10.2024,31102034,2455,970,0.0,merjena,,,164514.0,164514.0,246771.0,69096.0,109.0,A1,PRODAJA
52650,2024-715-218-113153,31.10.2024,31102034,2455,1646,0.0,merjena,,,78339.37,63325.0,111503.31,30951.0,67.0,A1,PRODAJA
52651,2024-715-218-113152,31.10.2024,31102034,2432,15,0.0,merjena,,,53441.26,41651.0,75445.79,20913.0,40.0,A1,PRODAJA
52652,2024-715-218-113150,31.10.2024,31102034,2408,184,0.0,merjena,,,25677.0,25677.0,38515.5,10784.0,25.0,A1,PRODAJA
52653,2024-715-218-113149,31.10.2024,31102034,2412,155,0.0,merjena,,,13981.0,13981.0,20971.5,5872.0,8.0,A1,PRODAJA
52654,2024-715-218-113148,31.10.2024,31102034,1994,2902,0.0,merjena,,,8008.0,8008.0,12012.0,3363.0,114.0,A1,PRODAJA
52655,2024-715-218-113146,31.10.2024,31102034,2315,2541,0.0,merjena,,,14069.0,14069.0,21103.5,5909.0,167.0,A1,PRODAJA
52656,2024-715-218-113145,31.10.2024,31102034,2455,3141,0.0,merjena,,,11568.0,11568.0,17352.0,4859.0,23.0,A1,PRODAJA
52657,2024-715-218-113014,31.10.2024,31102034,2447,12,0.0,merjena,,,19029.0,19029.0,28543.5,7992.0,20.0,A1,PRODAJA
52679,2024-902-39-115949,02.09.2024,2092034,959,601,0.0,merjena,,,287128.0,73515.0,347810.16,115467.0,1168.0,A1,PISARNE
52741,2024-886-61-112802,07.05.2024,7052034,821,53,0.0,merjena,,,122058.39,24069.0,143891.83,38526.0,1459.0,A1,DRUGO
52755,2024-909-126-113432,17.05.2024,17052034,1986,153,0.0,merjena,,,536772.86,161972.0,655238.95,176720.0,5283.0,A1,IZOBRAZ
52824,2024-913-244-112196,28.03.2024,28032034,2191,211,0.0,merjena,,,1774933.0,1282273.0,2563867.5,666646.0,6540.0,A1,SPORT
53003,2024-991-284-116861,14.10.2024,14102034,1422,809,0.0,merjena,,,108718.0,54304.0,99412.62,22808.0,1613.0,A1,DRUGO
53012,2024-972-42-117215,16.10.2024,16102034,1730,16,0.0,merjena,,,645900.0,219267.0,821448.25,186378.0,6236.0,A1,PRODAJA
53066,2024-656-42-113950,13.06.2024,13062034,1730,4108,0.0,merjena,,,233185.0,118188.0,308320.6,75053.0,2425.0,A1,PISARNE
53115,2024-866-17-117521,24.10.2024,24102034,1723,3781,0.0,merjena,,,459601.5,52555.0,526583.65,111623.0,6310.0,A1,PISARNE
53116,2024-715-218-113940,24.10.2024,24102034,1973,1234,0.0,merjena,,,8999.0,8999.0,13498.5,3780.0,114.0,A1,DRUGO
53117,2024-715-218-113906,24.10.2024,24102034,1683,153,0.0,merjena,,,75904.0,44512.0,101299.2,27799.0,27.0,A1,DRUGO
53118,2024-715-218-113905,24.10.2024,24102034,1659,240,0.0,merjena,,,126435.17,66634.0,165732.29,45329.0,91.0,A1,DRUGO
53119,2024-715-218-113904,24.10.2024,24102034,1115,142,0.0,merjena,,,86319.53,66572.0,121580.28,33687.0,82.0,A1,DRUGO
53120,2024-715-218-113903,24.10.2024,24102034,1637,258,0.0,merjena,,,17883.0,17883.0,26824.5,7511.0,27.0,A1,DRUGO
53121,2024-715-218-113902,24.10.2024,24102034,2030,525,0.0,merjena,,,112191.0,77596.0,154448.5,39509.0,97.0,A1,DRUGO
53122,2024-715-218-113899,24.10.2024,24102034,133,816,0.0,merjena,,,825605.49,0.0,908166.04,234189.0,84.0,A1,DRUGO
53168,2024-866-17-114941,12.07.2024,12072034,655,494,0.0,merjena,,,85789.0,85789.0,128683.5,36031.0,5061.0,A1,DRUGO
53179,2024-972-42-114788,07.08.2024,7082034,1730,98,0.0,merjena,,,179891.0,76611.0,232602.99,55001.0,2265.0,A1,PRODAJA
